Date,CO2
2023-05-30,80.38
2023-05-29,83.0
2023-05-26,83.13
2023-05-25,82.63
2023-05-24,84.79
2023-05-23,85.8
2023-05-22,87.25
2023-05-19,89.43
2023-05-18,89.65
2023-05-17,88.04
2023-05-16,88.93
2023-05-15,87.14
2023-05-12,88.93
2023-05-11,88.57
2023-05-10,89.06
2023-05-09,87.51
2023-05-08,85.59
2023-05-05,84.96
2023-05-04,84.5
2023-05-03,85.15
2023-05-02,88.52
2023-05-01,85.63
2023-04-28,87.65
2023-04-27,86.68
2023-04-26,86.24
2023-04-25,86.81
2023-04-24,88.56
2023-04-21,89.86
2023-04-20,91.74
2023-04-19,94.39
2023-04-18,95.15
2023-04-17,92.91
2023-04-14,94.11
2023-04-13,94.39
2023-04-12,96.27
2023-04-11,97.47
2023-04-06,96.75
2023-04-05,97.01
2023-04-04,94.98
2023-04-03,96.0
2023-03-31,91.75
2023-03-30,90.8
2023-03-29,90.02
2023-03-28,89.4
2023-03-27,88.13
2023-03-24,85.4
2023-03-23,90.18
2023-03-22,86.63
2023-03-21,87.38
2023-03-20,85.18
2023-03-17,85.57
2023-03-16,85.27
2023-03-15,86.65
2023-03-14,89.73
2023-03-13,92.99
2023-03-10,96.83
2023-03-09,95.4
2023-03-08,94.76
2023-03-07,92.87
2023-03-06,89.96
2023-03-03,89.27
2023-03-02,90.1
2023-03-01,93.8
2023-02-28,95.88
2023-02-27,96.9
2023-02-24,94.79
2023-02-23,93.84
2023-02-22,93.45
2023-02-21,97.12
2023-02-20,95.11
2023-02-17,93.33
2023-02-16,95.13
2023-02-15,91.51
2023-02-14,88.62
2023-02-13,89.35
2023-02-10,90.44
2023-02-09,88.49
2023-02-08,87.59
2023-02-07,87.9
2023-02-06,87.96
2023-02-03,90.9
2023-02-02,90.65
2023-02-01,92.65
2023-01-31,90.13
2023-01-30,87.21
2023-01-27,86.94
2023-01-26,86.81
2023-01-25,82.28
2023-01-24,79.62
2023-01-23,81.8
2023-01-20,82.6
2023-01-19,81.86
2023-01-18,81.42
2023-01-17,77.21
2023-01-16,75.07
2023-01-13,77.2
2023-01-12,77.76
2023-01-11,76.64
2023-01-10,78.38
2023-01-09,79.1
2023-01-06,75.55
2023-01-05,76.24
2023-01-04,75.4
2023-01-03,80.42
2023-01-02,83.67
2022-12-30,79.4
2022-12-29,82.36
2022-12-28,84.13
2022-12-27,86.08
2022-12-23,86.85
2022-12-22,86.85
2022-12-21,85.6
2022-12-20,86.87
2022-12-19,84.69
2022-12-16,83.68
2022-12-15,85.2
2022-12-14,86.19
2022-12-13,88.99
2022-12-12,89.81
2022-12-09,87.73
2022-12-08,88.93
2022-12-07,88.19
2022-12-06,88.61
2022-12-05,87.17
2022-12-02,87.98
2022-12-01,84.88
2022-11-30,84.9
2022-11-29,81.39
2022-11-28,78.59
2022-11-25,78.97
2022-11-24,78.69
2022-11-23,75.87
2022-11-22,73.87
2022-11-21,74.28
2022-11-18,72.47
2022-11-17,72.4
2022-11-16,73.41
2022-11-15,76.65
2022-11-14,75.23
2022-11-11,75.84
2022-11-10,73.05
2022-11-09,72.76
2022-11-08,76.06
2022-11-07,77.49
2022-11-04,76.36
2022-11-03,76.28
2022-11-02,76.7
2022-11-01,76.72
2022-10-31,79.97
2022-10-28,81.21
2022-10-27,80.21
2022-10-26,75.79
2022-10-25,77.11
2022-10-24,72.32
2022-10-21,68.72
2022-10-20,66.87
2022-10-19,67.29
2022-10-18,67.77
2022-10-17,67.51
2022-10-14,68.02
2022-10-13,68.84
2022-10-12,66.71
2022-10-11,66.34
2022-10-10,66.77
2022-10-07,69.85
2022-10-06,68.96
2022-10-05,67.07
2022-10-04,66.92
2022-10-03,65.94
2022-09-30,66.73
2022-09-29,65.73
2022-09-28,65.15
2022-09-27,67.96
2022-09-26,70.33
2022-09-23,65.77
2022-09-22,70.44
2022-09-21,69.79
2022-09-20,71.14
2022-09-19,71.1
2022-09-16,73.27
2022-09-15,71.85
2022-09-14,72.54
2022-09-13,69.75
2022-09-12,71.82
2022-09-09,66.08
2022-09-08,67.24
2022-09-07,69.03
2022-09-06,69.88
2022-09-05,74.45
2022-09-02,77.89
2022-09-01,80.79
2022-08-31,80.03
2022-08-30,80.81
2022-08-29,86.66
2022-08-26,90.31
2022-08-25,89.31
2022-08-24,89.24
2022-08-23,89.29
2022-08-22,92.17
2022-08-19,98.01
2022-08-18,96.04
2022-08-17,95.8
2022-08-16,92.08
2022-08-15,90.78
2022-08-12,88.87
2022-08-11,87.55
2022-08-10,85.92
2022-08-09,85.93
2022-08-08,83.81
2022-08-05,84.76
2022-08-04,84.19
2022-08-03,83.99
