Título,ESTRUCTURA DE LA GENERACIÓN POR TECNOLOGÍAS_01-01-2023_30-05-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sistema eléctrico,Nacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fecha,01/01/2023,02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,13/01/2023,14/01/2023,15/01/2023,16/01/2023,17/01/2023,18/01/2023,19/01/2023,20/01/2023,21/01/2023,22/01/2023,23/01/2023,24/01/2023,25/01/2023,26/01/2023,27/01/2023,28/01/2023,29/01/2023,30/01/2023,31/01/2023,01/02/2023,02/02/2023,03/02/2023,04/02/2023,05/02/2023,06/02/2023,07/02/2023,08/02/2023,09/02/2023,10/02/2023,11/02/2023,12/02/2023,13/02/2023,14/02/2023,15/02/2023,16/02/2023,17/02/2023,18/02/2023,19/02/2023,20/02/2023,21/02/2023,22/02/2023,23/02/2023,24/02/2023,25/02/2023,26/02/2023,27/02/2023,28/02/2023,01/03/2023,02/03/2023,03/03/2023,04/03/2023,05/03/2023,06/03/2023,07/03/2023,08/03/2023,09/03/2023,10/03/2023,11/03/2023,12/03/2023,13/03/2023,14/03/2023,15/03/2023,16/03/2023,17/03/2023,18/03/2023,19/03/2023,20/03/2023,21/03/2023,22/03/2023,23/03/2023,24/03/2023,25/03/2023,26/03/2023,27/03/2023,28/03/2023,29/03/2023,30/03/2023,31/03/2023,01/04/2023,02/04/2023,03/04/2023,04/04/2023,05/04/2023,06/04/2023,07/04/2023,08/04/2023,09/04/2023,10/04/2023,11/04/2023,12/04/2023,13/04/2023,14/04/2023,15/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,20/04/2023,21/04/2023,22/04/2023,23/04/2023,24/04/2023,25/04/2023,26/04/2023,27/04/2023,28/04/2023,29/04/2023,30/04/2023,01/05/2023,02/05/2023,03/05/2023,04/05/2023,05/05/2023,06/05/2023,07/05/2023,08/05/2023,09/05/2023,10/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,19/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023,29/05/2023,30/05/2023
Hidráulica,"76,797427","136,436274","153,684712","138,118538","143,04825200000002","131,057103","74,22636100000001","81,003281","102,242106","148,95574","145,83885","157,848801","161,580609","138,361388","78,27813800000001","96,247492","92,862342","101,35942299999999","103,888745","124,733021","108,154567","100,414332","129,120944","156,813312","163,728905","159,441339","140,79197399999998","107,035241","105,726002","155,792932","145,877801","137,73694","139,000013","143,516445","95,430067","63,292468","82,977585","126,526151","122,428922","106,69578999999999","109,24614","80,434735","75,415869","90,51643","79,243876","86,489607","89,028775","73,415397","68,309878","59,740591","67,949908","82,598049","82,703299","75,090996","91,123428","82,477902","43,564558","45,341206","63,229203999999996","83,185233","84,935093","83,076151","88,088617","92,528449","84,38493","49,034525","52,829166","50,356218999999996","43,979398","42,316146","60,883784","51,467414","60,754528","93,740264","65,351846","61,002634","72,56894899999999","64,797684","82,665952","82,150868","70,65021899999999","60,49154","57,790366999999996","47,144383000000005","32,97673","70,232582","83,37802599999999","62,544292999999996","56,837025000000004","51,137352","40,257347","34,207192000000006","69,338463","54,994271","77,055246","59,193053","49,941466999999996","58,493038999999996","47,578933","42,489578","62,816826999999996","37,232589999999995","44,016589999999994","42,663547","37,544038","34,147726999999996","50,962483999999996","52,281093999999996","52,656707000000004","58,800943","57,165803","46,484683","30,311244","48,361951999999995","48,457325","62,401308","66,415713","66,619584","55,169237","42,639066","42,412099999999995","53,8157","48,340300000000006","52,8956","56,5541","43,510400000000004","45,2879","53,785","47,9906","51,333800000000004","52,0171","49,4631","39,9519","38,3416","40,6447","38,5009","39,5822","43,0387","45,4059","45,706199999999995","45,014199999999995","58,9126","49,768699999999995","48,9835","43,2906","41,6624","46,7669","43,5155","50,8219","62,8643"
Turbinación bombeo,"11,629361000000001","19,334608","11,252745","18,004257000000003","12,800362","12,027723","20,475111000000002","7,19313","19,281589","15,272125","20,630431","17,415556000000002","23,255917","14,620284","14,5122","29,220967","23,188014","25,528701","22,035722","19,848475999999998","14,130916","17,361618","21,967131000000002","26,3214","15,551696","14,732261000000001","16,355019","17,841376","18,84153","13,722603","8,444621","13,029804","8,567236999999999","11,074314000000001","11,762473","9,40697","14,712200999999999","14,747575000000001","9,026806","4,440522","5,587898","2,7723139999999997","6,048641","4,5900039999999995","1,755702","6,952848","11,245652","9,145152","7,688257999999999","9,648679","6,246898","12,663823","12,313124","5,346866","6,5657309999999995","4,037455","10,326351","23,632863","17,535068","8,424526","7,351359","7,731886","8,530168999999999","7,702421","3,054709","10,339396","16,293425","16,841714","20,122803","18,489174","29,373629","20,874337","25,349419","17,951724","21,313343","23,695263999999998","15,602729","14,609797","14,844348","18,928624","19,500767","21,143645","22,532709","23,271228","14,436731","17,479408","22,069443","28,405594","26,906259","16,909224","21,940538","25,131353","28,960226","21,292941","16,233115","20,648526","25,564572000000002","26,605588","26,835824","19,397041","22,633245","20,991668","21,003627","22,899376","20,849803","31,838341","22,821994999999998","16,037024","19,245258999999997","21,105062999999998","21,786623","17,600824","14,879379","18,574084","23,316357","11,050964","16,62382","10,498838","10,258977000000002","14,965261","9,744299999999999","15,368799999999998","6,740399999999999","12,7771","17,779799999999998","6,7826","6,5463000000000005","14,588799999999999","12,1315","14,207799999999999","12,7241","14,2514","11,8199","13,576600000000001","15,9954","20,3072","12,246","13,5034","15,2325","15,322299999999998","17,509400000000003","15,711200000000002","4,5893999999999995","5,7505","8,196299999999999","8,9979","9,9931","7,5076","7,5661000000000005","6,3678"
Nuclear,"154,675736","162,687171","169,453632","169,747896","169,859286","169,84035","136,14119399999998","119,629148","149,044166","169,479445","169,679709","169,67692300000002","169,69096299999998","169,77937899999998","169,47103700000002","151,78910399999998","151,427463","153,97156","169,517736","169,90604000000002","170,194031","170,130441","170,180516","170,06956200000002","170,087794","170,060867","170,108286","170,111057","170,12678200000002","170,094898","170,131417","169,944683","170,085845","170,238403","170,30815900000002","170,232323","170,233945","170,30089900000002","170,252109","170,24854399999998","170,328293","170,369894","161,529269","169,34124799999998","170,26931299999998","170,2766","170,37214300000002","170,40922700000002","164,524622","170,180492","170,20416200000003","170,11761900000002","161,92381899999998","145,993463","146,058008","146,104394","146,082892","146,032302","145,997046","145,983932","145,93268700000002","145,98055300000001","152,824939","168,523756","169,916214","170,008036","169,725796","169,645598","169,636023","167,64728599999998","169,44226","169,802316","169,949382","162,539297","168,914436","169,340395","169,56793299999998","169,58541200000002","169,48019699999998","169,28269","169,329332","169,100069","168,983948","168,564392","154,14318400000002","166,832685","169,16541","169,124413","168,454359","134,862735","134,466678","136,92153299999998","166,37803","168,991421","169,039573","168,98808400000001","167,804464","168,695932","167,518883","168,200379","168,160234","168,03729","166,978304","167,937892","166,498032","163,294961","144,112885","144,174685","144,286979","144,203974","144,046388","144,004226","142,941437","143,91160699999998","143,327954","136,52096","140,502772","135,323538","120,817992","121,165925","120,6191","121,7731","121,7793","121,62589999999999","121,6366","121,6262","121,5063","121,5716","121,561","121,593","121,7097","121,6313","114,6287","121,1729","121,7701","98,40889999999999","107,1632","118,52669999999999","121,1972","121,4743","126,3096","133,004","139,696","122,1152","121,29889999999999","121,68610000000001","121,9688","121,8938","121,8062","121,8772"
Carbón,"10,629610000000001","12,506343000000001","14,364422000000001","14,499825999999999","8,139137999999999","5,564502","4,051546","5,715647","7,120904","14,154897","15,562066000000002","14,288566000000001","12,887017","5,8982399999999995","6,085348","6,600543","7,033545","7,285408","7,879116","8,585771000000001","6,691377","6,098066","8,430734000000001","10,630727","13,463846","13,32276","9,06231","6,052655","6,005228","12,532641","15,064463","13,89293","17,788013","19,606697","13,769693","6,612226","13,123496","18,930638","22,750648","23,855864","20,307435","10,576248","7,154442","10,73785","9,337134","14,329827","20,878992999999998","16,819907999999998","8,951352","7,0716540000000006","14,145387000000001","18,923515","21,536937","16,616049","15,604847","14,053434","11,452862999999999","14,465368","14,656436","15,663005","19,843662000000002","20,291343","17,605150000000002","17,278168","17,935157999999998","13,390075000000001","13,3907","13,544895","13,722185999999999","12,330646","11,662935","13,490551","14,069525","13,836200999999999","13,817767","13,779453","11,771514999999999","11,86638","12,833165999999999","12,388714","13,827368","13,112255","12,758874","10,855405000000001","10,312051","12,047457","11,755797000000001","11,671282999999999","11,428936","11,818613","10,784655","10,401163","10,642961999999999","11,336295","11,763651","11,237846","10,978681","10,743338","10,533089","9,974362","7,517417999999999","7,66364","7,8747359999999995","6,95993","6,316762","5,783504","6,750776","8,155371","8,681207","9,893182000000001","9,230675999999999","6,142913999999999","5,920988","7,301576","7,151568","8,316342","4,8535200000000005","4,981933","4,622357","7,339142","11,376","11,5607","9,3958","7,8209","7,6945","7,7572","6,7111","7,5635","6,979100000000001","6,9023","7,0701","7,1004","6,6738","6,5911","7,8248","7,5168","7,2235","7,2237","7,341","6,3899","6,293699999999999","7,7423","6,7833000000000006","6,9193","7,4535","7,276","6,2685","6,136","11,036","13,1279"
Fuel + Gas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-0,000001",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Motores diésel,"5,475439000000001","6,702929","6,069976","6,002443","6,501371","5,775973","5,880727","5,372396","6,10617","6,554722","5,753203","5,29877","5,468560999999999","5,8326970000000005","5,213081","5,5234380000000005","5,923908","6,271682","5,642518","5,548323","5,424653","5,350886","6,569061","6,164930999999999","6,278957","5,913335","6,40262","6,552928","6,900352","7,084328","7,071326","7,612449","7,6328689999999995","7,737076","7,172599","7,104310000000001","7,656503","7,569058","7,950697","7,928367000000001","7,460927","6,549497000000001","6,285515999999999","6,818649000000001","6,940564","6,907938","7,1092319999999996","7,248761","6,938841999999999","7,051855","6,809992","5,653481","6,393177","6,436534","7,049707000000001","6,71866","5,951707000000001","6,585148","6,590185","6,503266","6,852619","6,859618","6,260497","6,473207","7,134329","6,793787","6,9903450000000005","6,248614","5,039866","5,311864","5,354425","5,222996","4,8216","5,214924","5,547473","4,965546000000001","5,037332999999999","4,6656390000000005","5,829113","6,097542000000001","5,216545","5,863204","5,535735","5,753911","5,083363","5,891835","5,496887","5,064753","4,816561","5,301842","4,9370829999999994","4,879609","4,881482","4,5485050000000005","5,434016","5,804795","6,253939","6,623578","4,977619","5,291206","5,954554","5,325526","5,795212","5,708101","5,5501000000000005","5,649743","6,838848","7,508044","7,133049","7,6432020000000005","7,523985","6,376721","5,7804020000000005","6,698845","6,879608","6,404578000000001","7,161701","7,259481","6,620672","6,712771","6,494497999999999","6,393717","6,29198","6,385197","6,6949629999999996","6,748095","5,956953","5,9017610000000005","6,184385","6,247419","6,028384","6,4962219999999995","6,297863","5,873511000000001","6,205139","6,204335","6,043823000000001","5,847888","6,361777","6,496319000000001","5,873946","6,585888","6,072719","6,690881999999999","7,490203","7,490247","7,290926000000001","6,7207550000000005","7,230367","6,974454"
Turbina de gas,"0,9195610000000001","1,560365","1,237517","1,180267","1,078054","1,4308530000000002","1,662818","1,779652","2,274801","2,1387530000000003","1,842368","1,780934","1,743219","2,193121","1,44112","2,637349","2,823578","2,959075","2,6840129999999998","2,8465369999999997","1,9713559999999999","1,850147","2,361815","1,93273","1,537881","1,5443959999999999","2,502791","3,381199","2,23996","3,3921550000000003","3,224413","3,6458690000000002","3,223809","2,5163870000000004","2,0699490000000003","1,604589","3,332013","3,698351","2,627859","2,699747","1,745602","1,59923","1,4880719999999998","2,462991","2,740779","1,625315","1,720877","1,472453","1,245066","1,2649670000000002","1,911623","1,257288","1,6028699999999998","1,975011","1,88419","1,4492159999999998","0,948324","2,551391","2,968026","2,023299","1,691295","1,778789","1,437816","1,460015","2,865943","2,453532","2,543413","1,757854","1,3604690000000002","1,4294069999999999","2,005678","1,829566","1,7695750000000001","2,023721","1,503029","1,177589","1,3595570000000001","1,441596","1,6780650000000001","2,034545","1,314479","1,233963","1,4562840000000001","1,0260429999999998","1,1257819999999998","1,5455830000000002","1,885982","1,2631130000000002","1,472192","1,408276","1,001781","1,131211","1,413891","1,637883","1,553698","1,1243599999999998","1,19916","1,362547","0,9614940000000001","1,276132","1,928078","1,535348","1,503566","1,000874","1,146595","1,1846400000000001","2,526513","1,987861","1,780448","2,1672849999999997","1,663848","1,2484000000000002","1,6500329999999999","1,842244","2,354323","2,4864859999999998","1,8997739999999999","1,6277270000000001","3,426344","2,9187730000000003","3,06852","1,856008","1,839442","1,353452","1,377332","2,666134","1,8187090000000001","1,07426","2,071767","1,849605","1,486143","1,4884000000000002","1,3372","1,5821669999999999","1,161441","1,5380150000000001","1,563463","1,5549300000000001","1,409233","0,90107","0,7934869999999999","1,489182","2,180302","2,005302","2,473214","1,945608","1,2021359999999999","0,8979980000000001","1,78119","1,3994929999999999"
Turbina de vapor,"3,778819","4,870508","4,006689","4,045573","4,147368","3,496262","3,973148","3,5534209999999997","4,04518","4,040202","3,553456","2,9286570000000003","3,2401","4,207799","3,194452","3,542809","4,250126","4,052802","3,3010279999999996","3,407683","3,142429","3,0402370000000003","3,7800010000000004","3,925019","3,5351109999999997","2,9894369999999997","3,5374160000000003","4,054598","4,465241","5,468271","4,456547","4,552778","4,558726","5,694523","5,442497","4,7055169999999995","4,939315","5,217493","5,193792999999999","5,395287000000001","4,711577","4,6512020000000005","3,655272","4,474226","3,91677","2,890518","2,7857469999999998","2,945654","3,270946","2,518817","4,256336","3,160516","3,608772","4,659365","4,224470999999999","3,9111190000000002","3,574117","4,466952","4,669743","4,971207000000001","4,352310999999999","4,722727","3,4737669999999996","3,508066","4,05354","4,122552","4,051004","3,288636","2,948721","2,966507","3,450796","3,150974","3,041562","4,200755","3,806308","3,0827080000000002","2,8689780000000003","3,121889","3,223204","3,197462","3,091025","3,676994","2,783953","2,7629200000000003","2,180875","2,420103","2,444908","2,562776","2,861738","3,290276","2,893857","2,875994","3,3676880000000002","3,54619","3,317049","3,101343","3,157003","3,411344","2,873569","2,8923539999999996","2,971024","3,036555","2,911298","2,8183510000000003","2,297493","2,4218029999999997","3,420782","3,224879","3,038361","3,20716","3,210218","3,024558","2,6352379999999997","2,795069","2,965243","3,258276","3,114276","2,5944450000000003","2,572441","2,21109","2,677815","3,1305419999999997","3,195339","3,222616","3,1423180000000004","3,348474","2,985884","2,8171500000000003","2,81455","2,8668359999999997","2,790774","2,0802289999999997","1,90726","2,091492","2,1687130000000003","2,2669140000000003","2,6415520000000003","2,5861709999999998","2,741623","2,17009","2,384878","2,725061","2,65584","1,929281","2,608529","3,690174","2,363585","2,3134699999999997","2,6046419999999997","2,282376"
Ciclo combinado,"63,915218","145,700418","151,059151","118,999416","149,568689","91,722597","63,926989","57,368497000000005","79,500079","85,521197","92,428501","92,46903599999999","96,752611","64,554519","47,880901","49,154839","43,708980000000004","59,271637000000005","53,975826999999995","96,854062","57,126276","57,229464","80,219391","116,66776","104,213379","84,463411","76,498288","65,598758","85,02592600000001","145,328608","131,72235999999998","110,900785","157,786494","176,278701","89,18000599999999","77,575552","92,72216999999999","165,966225","176,61424","194,743064","186,95292","130,131267","129,485862","181,690927","177,202708","222,922603","220,557737","163,839448","114,3244","124,231488","168,967002","222,214378","226,894495","185,17263","222,234769","162,346197","82,358546","92,114537","112,277367","205,62433900000002","200,39633600000002","199,33095600000001","166,238542","215,654158","239,173271","77,542731","55,54828","35,345389000000004","36,526827","39,963815000000004","63,455847999999996","47,142576","80,647721","144,183309","70,93789100000001","62,378817000000005","63,934017","112,09936599999999","143,598559","142,134513","93,28963","64,594193","64,640696","56,067374","48,433606","104,65703500000001","117,901807","60,923843","51,739199","50,497487","53,511101000000004","56,970692","82,97374400000001","56,720608999999996","74,85167200000001","81,15701","108,984628","109,541331","106,665964","83,522772","81,018952","58,330214","57,398824999999995","41,24982","52,318988","68,221141","67,90072199999999","82,27169500000001","116,08789200000001","148,878035","129,522865","83,876317","75,029125","107,581389","125,314275","182,545254","206,568353","165,91055799999998","110,96814599999999","99,090806","94,651735","140,846057","104,48582499999999","87,087616","133,21706400000002","96,044359","86,81628500000001","114,822881","108,655736","99,22403299999999","86,968534","88,430234","79,06485799999999","74,839114","83,837202","77,133617","64,287004","69,780901","67,34762699999999","66,457441","79,41551700000001","118,620882","125,836569","134,370805","94,698031","85,243489","140,594602","137,173351","157,066465","190,153413"
Hidroeólica,"0,00316","0,009625","0,034612000000000004","0,019803","0,0028940000000000003","0,012444","0,007072","0,010858000000000001","0,003281","0,02401","0,072894","0,097084","0,093648","0,018469000000000003","0,06272","0,063789","0,065788","0,06336","0,096011","0,09581300000000001","0,088215","0,09030500000000001","0,09742700000000001","0,067915","0,072754","0,074559","0,092742","0,091585","0,045811","0,028404","0,042452","0,041485999999999995","0,015475","0,006795","0,010162000000000001","0,016723","0,039555","0,047017","0,009593","0,0016120000000000002","0,002355","-0,0006630000000000001","0,00085","0,026995","0,054446","0,102095","0,067622","0,050366","0,043708","0,041534","0,031608","0,061542","0,067077","0,042058","0,013888","0,00063","-0,000352","0,01611","0,019053999999999998","0,017899","0,017931000000000002","0,014301999999999999","0,005116","0,002549","0,001224","-0,0015400000000000001","0,007819","0,017407","0,052996","0,045052","0,006928","0,075776","0,07397799999999999","0,045902","0,071458","0,112839","0,100679","0,104919","0,09452500000000001","0,106351","0,11256100000000001","0,068208","0,054768","0,0077469999999999995","0,007686","0,006607","0,063208","0,097851","0,122654","0,057045","0,091747","0,134486","0,140607","0,14143","0,140456","0,117536","0,041674","0,028138000000000003","0,047625","0,06967","0,036687","0,023341","0,03615","0,03742","0,036707000000000004","0,034872999999999994","0,027496","0,023928","0,062083","0,014639","0,001638","0,0038740000000000003","0,032540999999999994","0,055009","0,051826","0,009739000000000001","0,009446999999999999","0,015054","0,058751","0,048765","0,021488","0,002033","0,034137999999999995","0,08849","0,10599800000000001","0,118557","0,13131","0,126918","0,12672","0,121211","0,117748","0,125031","0,128218","0,136539","0,11079900000000001","0,10693899999999999","0,103533","0,09351000000000001","0,06736199999999999","0,040622","0,034337000000000006","0,032003","0,027486999999999998","0,015927","0,018381","0,000842","0,002039","0,001024","0,0022570000000000003","0,005613000000000001"
