Título,estructura-generacion_2021_2023,,
Sistema eléctrico,NACIONAL,,
Magnitudes,%,,
 ,,,
 ,2021,2022,2023
Hidráulica,"11,394","6,478","10,031"
Turbinación bombeo,"1,019","1,366","2,162"
Nuclear,"20,784","20,254","20,524"
Carbón,"1,917","2,809","1,45"
Fuel + Gas,0,-,0
Motores diésel,"0,968","0,922","0,836"
Turbina de gas,"0,163","0,238","0,253"
Turbina de vapor,"0,426","0,437","0,456"
Ciclo combinado,"17,115","24,651","14,633"
Hidroeólica,"0,009","0,008","0,007"
Eólica,"23,278","22,138","25,832"
Solar fotovoltaica,"8,069","10,094","13,025"
Solar térmica,"1,81","1,492","1,633"
Otras renovables,"1,815","1,685","1,394"
Cogeneración,"10,034","6,423","7,036"
Residuos no renovables,"0,861","0,687","0,447"
Residuos renovables,"0,338","0,318","0,281"
Generación total,100,100,100
 ,,,
Notas,,,
 ,,,
 ,,,
Estados,,,
 ,Definitivo: 01/01/2021 - 30/06/2022,,
 ,Provisional: 01/07/2022 - 30/04/2023,,
 ,Programa: 01/05/2023 - 31/05/2023,,
 ,Previsto: 01/06/2023 - 01/06/2023,,
 ,,,
Fecha exportación,01/06/2023 - 13:58:20,,
 ,,,
Fuente,www.ree.es,,
