,value,datetime,mes,dia,week,year,date,weekend
0,5.80875,2013-12-31 23:00:00+00:00,12,31,1,2013,2013-12-31,0
1,25.280833,2014-01-01 23:00:00+00:00,1,1,1,2014,2014-01-01,0
2,39.924167,2014-01-02 23:00:00+00:00,1,2,1,2014,2014-01-02,0
3,4.992083,2014-01-03 23:00:00+00:00,1,3,1,2014,2014-01-03,0
4,4.091667,2014-01-04 23:00:00+00:00,1,4,1,2014,2014-01-04,1
5,13.5875,2014-01-05 23:00:00+00:00,1,5,1,2014,2014-01-05,1
6,47.885417,2014-01-06 23:00:00+00:00,1,6,2,2014,2014-01-06,0
7,41.2075,2014-01-07 23:00:00+00:00,1,7,2,2014,2014-01-07,0
8,49.022083,2014-01-08 23:00:00+00:00,1,8,2,2014,2014-01-08,0
9,56.202917,2014-01-09 23:00:00+00:00,1,9,2,2014,2014-01-09,0
10,50.277083,2014-01-10 23:00:00+00:00,1,10,2,2014,2014-01-10,0
11,37.665417,2014-01-11 23:00:00+00:00,1,11,2,2014,2014-01-11,1
12,38.821667,2014-01-12 23:00:00+00:00,1,12,2,2014,2014-01-12,1
13,33.352083,2014-01-13 23:00:00+00:00,1,13,3,2014,2014-01-13,0
14,49.85625,2014-01-14 23:00:00+00:00,1,14,3,2014,2014-01-14,0
15,41.779583,2014-01-15 23:00:00+00:00,1,15,3,2014,2014-01-15,0
16,40.707083,2014-01-16 23:00:00+00:00,1,16,3,2014,2014-01-16,0
17,43.674167,2014-01-17 23:00:00+00:00,1,17,3,2014,2014-01-17,0
18,33.870833,2014-01-18 23:00:00+00:00,1,18,3,2014,2014-01-18,1
19,37.813333,2014-01-19 23:00:00+00:00,1,19,3,2014,2014-01-19,1
20,50.708333,2014-01-20 23:00:00+00:00,1,20,4,2014,2014-01-20,0
21,46.99875,2014-01-21 23:00:00+00:00,1,21,4,2014,2014-01-21,0
22,44.464583,2014-01-22 23:00:00+00:00,1,22,4,2014,2014-01-22,0
23,40.640833,2014-01-23 23:00:00+00:00,1,23,4,2014,2014-01-23,0
24,20.58375,2014-01-24 23:00:00+00:00,1,24,4,2014,2014-01-24,0
25,25.987083,2014-01-25 23:00:00+00:00,1,25,4,2014,2014-01-25,1
26,15.761667,2014-01-26 23:00:00+00:00,1,26,4,2014,2014-01-26,1
27,4.947083,2014-01-27 23:00:00+00:00,1,27,5,2014,2014-01-27,0
28,28.719167,2014-01-28 23:00:00+00:00,1,28,5,2014,2014-01-28,0
