,Date,Demanda,GasNatural,Uranio,Hidráulica,Eólica,Otras renovables,Residuos renovables,Solar,value,weekend,Month,Weekday,Year
0,2020-01-01,574.77672,0.827455,0.92,151.481978,23.525794,8.373805,2.4544395,27.960236,39.995,0,1,2,2020
1,2020-01-02,723.522375,0.801905,0.93,159.171675,77.426389,8.407881999999999,2.1152715,22.901504000000003,39.50625,0,1,3,2020
2,2020-01-03,754.6453419999999,0.841552,0.91,151.996921,84.09911199999999,8.992384,2.115966,18.079815,35.670833,0,1,4,2020
3,2020-01-04,702.390878,0.854703,0.91,139.873002,125.320489,9.549843,2.2216345,24.877053,38.175417,1,1,5,2020
4,2020-01-05,651.967486,0.838966,0.91,126.801179,61.809342,10.030028,2.2470905,32.12561,42.16625,1,1,6,2020
5,2020-01-06,630.259532,0.889355,0.9,130.350192,50.242116,10.472046,2.3360375,31.064896,47.0125,0,1,0,2020
6,2020-01-07,789.0316210000001,0.897526,0.89,145.618109,55.450866000000005,10.822991,2.3243255,33.17445,46.80625,0,1,1,2020
7,2020-01-08,820.1436779999999,0.871107,0.91,148.928277,59.253662,11.451666,1.8710025,32.108743000000004,44.205833,0,1,2,2020
8,2020-01-09,820.7696139999999,0.833429,0.9,132.361763,135.41602600000002,10.871684,1.4645965,26.481815,40.569167,0,1,3,2020
9,2020-01-10,814.7598270000001,0.86646,0.9,137.100784,173.83212,10.103661,1.6708615,26.129882,41.839167,0,1,4,2020
10,2020-01-11,732.5317249999999,0.874506,0.9,111.030224,79.359488,10.667742,1.6957805,36.244022,42.359583,1,1,5,2020
11,2020-01-12,693.449101,0.879883,0.9,107.768537,58.418171,10.433588,1.6658605,36.626768,46.487083,1,1,6,2020
12,2020-01-13,829.1579059999999,0.858096,0.9,132.610429,125.889808,10.499567,1.656981,25.784107,38.677917,0,1,0,2020
13,2020-01-14,844.4160790000001,0.999178,0.89,126.556491,190.26769,11.775498,1.6035885,26.813549,38.45125,0,1,1,2020
14,2020-01-15,832.9102929999999,0.979593,0.88,110.971813,191.376315,11.44501,1.715085,22.184989,38.53,0,1,2,2020
15,2020-01-16,822.827255,0.980263,0.89,104.292086,208.576737,11.887625,1.8167285,34.69151,39.396667,0,1,3,2020
16,2020-01-17,807.653787,1.147115,0.87,97.049244,206.43071,12.026847,1.841701,23.98248,38.295417,0,1,4,2020
17,2020-01-18,729.6730239999999,1.129985,0.87,80.01625299999999,194.899726,11.788214,1.8173435,10.231475,29.764583,1,1,5,2020
18,2020-01-19,689.8208860000001,1.018677,0.87,82.743298,329.59027899999995,11.149881,1.7170425,18.122882,35.710833,1,1,6,2020
19,2020-01-20,846.106888,1.006182,0.87,108.681961,347.001229,10.837461,1.8995635,11.755409,39.104583,0,1,0,2020
20,2020-01-21,862.132604,1.030963,0.85,111.469814,276.167882,10.816387,2.4097785,9.822233,47.27125,0,1,1,2020
21,2020-01-22,841.706187,1.027894,0.84,142.70053099999998,155.545003,11.092345,2.335656,13.244024,53.954167,0,1,2,2020
22,2020-01-23,829.427103,1.002203,0.83,139.703137,78.496262,10.699506,2.497096,14.476919,53.705833,0,1,3,2020
23,2020-01-24,821.136183,1.017338,0.83,144.277569,59.825649,10.879572,2.3102065,12.59766,48.175417,0,1,4,2020
24,2020-01-25,734.265345,1.003005,0.83,128.129436,45.587571,11.061867,2.316553,10.257947,40.007917,1,1,5,2020
25,2020-01-26,676.3692619999999,1.026825,0.83,98.992667,129.06876,10.713312,2.4049645,25.536614,39.340417,1,1,6,2020
26,2020-01-27,807.615701,0.998677,0.82,92.349355,261.456085,10.879817,2.371718,23.487792,38.470417,0,1,0,2020
