Date,Demanda,GasNatural,Uranio,Hidráulica,Eólica,Otras renovables,Residuos renovables,Solar,value,weekend,CO2,Month,Weekday,Year
2020-01-02,723.522375,0.801905,0.93,159.171675,77.426389,8.407881999999999,2.1152715,22.901504000000003,39.50625,0,24.9,1,3,2020
2020-01-03,754.6453419999999,0.841552,0.91,151.996921,84.09911199999999,8.992384,2.115966,18.079815,35.670833,0,25.5,1,4,2020
2020-01-06,630.259532,0.889355,0.9,130.350192,50.242116,10.472046,2.3360375,31.064896,47.0125,0,24.74,1,0,2020
2020-01-07,789.0316210000001,0.897526,0.89,145.618109,55.450866000000005,10.822991,2.3243255,33.17445,46.80625,0,25.06,1,1,2020
2020-01-08,820.1436779999999,0.871107,0.91,148.928277,59.253662,11.451666,1.8710025,32.108743000000004,44.205833,0,24.6,1,2,2020
2020-01-09,820.7696139999999,0.833429,0.9,132.361763,135.41602600000002,10.871684,1.4645965,26.481815,40.569167,0,25.2,1,3,2020
2020-01-10,814.7598270000001,0.86646,0.9,137.100784,173.83212,10.103661,1.6708615,26.129882,41.839167,0,24.73,1,4,2020
2020-01-13,829.1579059999999,0.858096,0.9,132.610429,125.889808,10.499567,1.656981,25.784107,38.677917,0,24.66,1,0,2020
2020-01-14,844.4160790000001,0.999178,0.89,126.556491,190.26769,11.775498,1.6035885,26.813549,38.45125,0,24.37,1,1,2020
2020-01-15,832.9102929999999,0.979593,0.88,110.971813,191.376315,11.44501,1.715085,22.184989,38.53,0,25.04,1,2,2020
2020-01-16,822.827255,0.980263,0.89,104.292086,208.576737,11.887625,1.8167285,34.69151,39.396667,0,25.37,1,3,2020
2020-01-17,807.653787,1.147115,0.87,97.049244,206.43071,12.026847,1.841701,23.98248,38.295417,0,25.97,1,4,2020
2020-01-20,846.106888,1.006182,0.87,108.681961,347.001229,10.837461,1.8995635,11.755409,39.104583,0,25.7,1,0,2020
2020-01-21,862.132604,1.030963,0.85,111.469814,276.167882,10.816387,2.4097785,9.822233,47.27125,0,25.45,1,1,2020
2020-01-22,841.706187,1.027894,0.84,142.70053099999998,155.545003,11.092345,2.335656,13.244024,53.954167,0,25.55,1,2,2020
2020-01-23,829.427103,1.002203,0.83,139.703137,78.496262,10.699506,2.497096,14.476919,53.705833,0,25.21,1,3,2020
2020-01-24,821.136183,1.017338,0.83,144.277569,59.825649,10.879572,2.3102065,12.59766,48.175417,0,24.87,1,4,2020
2020-01-27,807.615701,0.998677,0.82,92.349355,261.456085,10.879817,2.371718,23.487792,38.470417,0,25.05,1,0,2020
2020-01-28,807.001677,1.008204,0.78,103.275679,220.347443,11.179536,2.3784465,15.689447,39.77125,0,25.1,1,1,2020
2020-01-29,792.162501,1.027527,0.8,101.300016,204.90613,12.106716,2.325466,19.572086,37.94875,0,24.43,1,2,2020
2020-01-30,778.203546,1.070727,0.81,87.508033,225.931079,12.879051,2.4728515000000004,22.884995,37.232917,0,24.17,1,3,2020
2020-01-31,765.448598,1.128816,0.83,94.23338,191.346465,11.416217,2.4771025,22.401334,29.231667,0,24.31,1,4,2020
2020-02-03,729.3290820000001,1.144589,0.89,92.119269,121.332676,12.299891,2.371802,42.844557,37.821667,0,23.63,2,0,2020
2020-02-04,747.892827,1.207182,0.87,85.611592,186.634777,12.43311,2.4400305,42.326282000000006,36.82,0,23.78,2,1,2020
2020-02-05,758.9877879999999,1.3495,0.86,99.862715,162.47138800000002,12.464199,2.4839475,41.736039,38.6375,0,24.19,2,2,2020
2020-02-06,769.754643,1.332739,0.85,118.542943,140.91042199999998,12.6848,2.324319,37.203977,39.872917,0,23.98,2,3,2020
